Level	Rule Name	Subject	Property	Value
WARN	missing_xrefs	obo:PRIDE_0000000	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000001	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000002	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000003	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000004	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000005	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000006	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000007	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000008	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000009	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000010	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000011	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000012	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000013	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000014	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000015	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000016	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000017	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000018	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000019	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000020	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000021	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000022	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000023	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000024	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000025	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:PRIDE_0000026	oboInOwl:hasDbXref	
